Year,Agency Name,Name of Donor (Individual or Firm),Value of Donation,Agency Category,Donation Type,Unique Identifier,Gender,Age,Education Level,Employment Status,Internet Access,Marital Status,Ethnicity,Location
2019,Administration for Children's Services,Rx Plus Pharmacy,12564.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_1,Male,45.0,College,Full-Time,Yes,Married,White,Rural
2019,Administration for Children's Services,Glam4Good,27462.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_2,Female,27.0,College,Full-Time,Yes,Married,White,Rural
2019,Administration for Children's Services,Pajamas & Book Program,24388.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_3,Male,38.0,Doctorate,Full-Time,Yes,Married,White,Urban
2019,Administration for Children's Services,Tickets for Kids,89779.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_4,Female,29.0,High School or Less,Full-Time,No,Married,Black or African American,Urban
2019,Administration for Children's Services,New York Mets,12750.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_5,Male,23.0,College,Full-Time,No,Married,Black or African American,Urban
2019,Administration for Children's Services,New York Yankees,51550.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_6,Female,34.0,Doctorate,Full-Time,Yes,Single,White,Suburban
2019,Administration for Children's Services,Publishers Weekly,63402.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_7,Male,38.0,High School or Less,Full-Time,Yes,Single,White,Urban
2019,Administration for Children's Services,Literature for Incarcerated Teens,33977.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_8,Female,21.0,High School or Less,Full-Time,Yes,Widowed,White,Urban
2019,Administration for Children's Services,Foster Care Unplugged,31793.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_9,Female,25.0,College,Full-Time,Yes,Married,Hispanic or Latino,Suburban
2019,Administration for Children's Services,The Research Foundation for SUNY,5000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_10,Male,34.0,College,Full-Time,Yes,Married,Black or African American,Urban
2019,Administration for Children's Services,Scholastic Inc.,71809.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_11,Female,20.0,College,Full-Time,Yes,Single,Hispanic or Latino,Urban
2019,Administration for Children's Services,Together We Rise,13200.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_12,Male,30.0,Masters Level,Full-Time,Yes,Married,Other,Urban
2019,Administration for Children's Services,The Dalton School,7919.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_13,Male,56.0,College,Full-Time,Yes,Single,Hispanic or Latino,Urban
2019,Administration for Children's Services,Municipal Crdit Union,6940.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_14,Female,28.0,Masters Level,Full-Time,Yes,Married,White,Urban
2019,Administration for Children's Services,Aaron Humphrey,5000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_15,Female,18.0,College,Full-Time,Yes,Married,Hispanic or Latino,Urban
2019,Administration for Children's Services,Brushstroke Foundation for Hospital Art,7000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_16,Male,39.0,College,Full-Time,Yes,Married,Black or African American,Urban
2019,Administration for Children's Services,American Christmas,10000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_17,Female,33.0,College,Full-Time,Yes,Married,White,Urban
2019,Administration for Children's Services,The Shawn Carter Foundation,37580.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_18,Female,18.0,College,Unemployed,Yes,Single,Hispanic or Latino,Urban
2019,Administration for Children's Services,Walk With Us,8328.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_19,Female,38.0,High School or Less,Full-Time,Yes,Single,Hispanic or Latino,Urban
2019,Administration for Children's Services,Madison Square Garden,6350.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_20,Female,45.0,High School or Less,Full-Time,No,Married,Hispanic or Latino,Urban
2019,Administration for Children's Services,Emanuel Baptist Church,8000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_21,Female,42.0,Doctorate,Full-Time,Yes,Married,Black or African American,Urban
2019,Administration for Children's Services,New York Jets,5000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_22,Female,44.0,High School or Less,Full-Time,Yes,Single,Black or African American,Urban
2019,Administration for Children's Services,New Yorkers for Children,7000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_23,Female,19.0,Masters Level,Part-Time,Yes,Married,White,Urban
2019,Administration for Children's Services,Hornblower Cruise Ship,25000.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_24,Male,24.0,College,Full-Time,Yes,Divorced,Hispanic or Latino,Rural
2019,Administration for Children's Services,Huntington Learning Center,10435.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_25,Male,36.0,High School or Less,Unemployed,No,Divorced,White,Urban
2019,Administration for Children's Services,Symphony Space,5997.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_26,Female,43.0,Masters Level,Full-Time,No,Married,Hispanic or Latino,Urban
2019,Administration for Children's Services,Sussman & Associates,5926.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_27,Male,32.0,College,Unemployed,Yes,Single,White,Rural
2019,Administration for Children's Services,Eclectic/Encore Properties,8750.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_28,Male,45.0,College,Full-Time,Yes,Married,Black or African American,Urban
2019,Administration for Children's Services,Beautiful Me,10575.0,Homess and Social Services and Childrens Services,In-Kind Donation,DONOR_29,Female,23.0,College,Full-Time,Yes,Divorced,White,Urban
2019,Borough President - Brooklyn,Schneps Community News Group,25000.0,Borough Leadership,In-Kind Donation,DONOR_30,Male,21.0,High School or Less,Full-Time,Yes,Married,Other,Urban
2019,Borough President - Brooklyn,Diana Bagrationi Foundation and Niko Abazadze,60000.0,Borough Leadership,In-Kind Donation,DONOR_31,Female,42.0,Masters Level,Full-Time,Yes,Divorced,Black or African American,Suburban
2019,Borough President - Manhattan,Columbia University 2/28/19,12000.0,Borough Leadership,In-Kind Donation,DONOR_32,Male,24.0,High School or Less,Full-Time,Yes,Divorced,Hispanic or Latino,Urban
2019,Borough President - Manhattan,N.Y. Public Library 3/26/19,10000.0,Borough Leadership,In-Kind Donation,DONOR_33,Female,21.0,College,Unemployed,Yes,Married,Black or African American,Suburban
2019,Borough President - Manhattan,John Jay College   10/27/19,7000.0,Borough Leadership,In-Kind Donation,DONOR_34,Female,48.0,Masters Level,Full-Time,Yes,Married,Asian,Urban
2019,Borough President - Queens,JetBlue Airways,14670.0,Borough Leadership,In-Kind Donation,DONOR_35,Female,28.0,Masters Level,Full-Time,Yes,Single,Other,Suburban
2019,Borough President - Queens,Delta Air Lines,15000.0,Borough Leadership,In-Kind Donation,DONOR_36,Male,42.0,College,Full-Time,Yes,Married,White,Urban
2019,Borough President - Queens,Resorts World Casino New York City,11250.0,Borough Leadership,In-Kind Donation,DONOR_37,Female,19.0,Masters Level,Full-Time,Yes,Single,White,Rural
2019,Borough President - Queens,Charter Communications (Spectrum News NY1),7500.0,Borough Leadership,In-Kind Donation,DONOR_38,Female,22.0,High School or Less,Full-Time,Yes,Single,White,Urban
2019,Consumer and Worker Protection (Department of),"Deloitte Tax, LLP",7500.0,Other,In-Kind Donation,DONOR_39,Female,38.0,High School or Less,Full-Time,Yes,Married,Black or African American,Urban
2019,Consumer and Worker Protection (Department of),Municipal Credit Union (MCU),5000.0,Other,Monetary Donation,DONOR_40,Male,48.0,College,Full-Time,Yes,Married,White,Rural
2019,Economic Development Corporation,"Team8, Inc.",42200.0,Economic and Finance,In-Kind Donation,DONOR_41,Male,40.0,College,Full-Time,Yes,Single,White,Urban
2019,Economic Development Corporation,Global Futures Group,8000.0,Economic and Finance,In-Kind Donation,DONOR_42,Female,61.0,High School or Less,Full-Time,Yes,Divorced,White,Urban
2019,Economic Development Corporation,Boston Consulting Group Digital Ventures,10200.0,Economic and Finance,In-Kind Donation,DONOR_43,Male,25.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),01M363 PTA of the Neighborhood School ; PRIV PTA GRANT 02  0,30998.0,Education,Monetary Donation,DONOR_44,Male,41.0,College,Unemployed,Yes,Single,White,Urban
2019,Education (Department of),01M539 The Nest+M Parent Teacher Association Inc ; PRIV PTA GRANT 01  0,374030.0,Education,Monetary Donation,DONOR_45,Female,61.0,College,Unemployed,No,Single,White,Urban
2019,Education (Department of),01M539 The Nest+M Parent Teacher Association Inc ; PRIV PTA GRANT 30  0,374030.0,Education,Monetary Donation,DONOR_46,Female,25.0,High School or Less,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M006 Parent Teacher Association of Lillie Devereaux Blake School PS 6 ; PRIV PTA GRANT 16  0,803000.0,Education,Monetary Donation,DONOR_47,Male,21.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M006 Parent Teacher Association of Lillie Devereaux Blake School PS6 (Asst. Teacher) ; PRIV PTA GRANT 23  9,405000.0,Education,Monetary Donation,DONOR_48,Male,45.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M033 Chelsea Prep PTA Inc ; PRIV PTA GRANT 25  9,244314.0,Education,Monetary Donation,DONOR_49,Female,31.0,Doctorate,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M033 PS033M Chelsea Prep PTA Inc ; PRIV PTA GRANT 01  0,51315.0,Education,Monetary Donation,DONOR_50,Male,22.0,High School or Less,Part-Time,No,Married,White,Urban
2019,Education (Department of),02M033 PS033M Chelsea Prep PTA Inc ; PRIV PTA GRANT 30  0,159560.56,Education,Monetary Donation,DONOR_51,Female,27.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M041 PS 41 PTA ; PRIV PTA GRANT 10  0,150000.0,Education,Monetary Donation,DONOR_52,Male,41.0,Doctorate,Full-Time,Yes,Divorced,White,Urban
2019,Education (Department of),02M059 PTA of PS 59 ; PRIV PTA GRANT 06  0,547500.0,Education,Monetary Donation,DONOR_53,Male,45.0,Masters Level,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M059 PTA PS 59 Inc ; PRIV PTA GRANT 01  9,259000.0,Education,Monetary Donation,DONOR_54,Female,30.0,College,Full-Time,No,Married,Hispanic or Latino,Urban
