Year,Agency Name,Name of Donor (Individual or Firm),Type of Donation,Value of Donation
2019,Administration for Children's Services,Rx Plus Pharmacy,In-Kind,"$12,564.00"
2019,Administration for Children's Services,Glam4Good,In-Kind,"$27,462.00"
2019,Administration for Children's Services,Pajamas & Book Program,In-Kind,"$24,388.00"
2019,Administration for Children's Services,Tickets for Kids,In-Kind,"$89,779.00"
2019,Administration for Children's Services,New York Mets,In-Kind,"$12,750.00"
2019,Administration for Children's Services,New York Yankees,In-Kind,"$51,550.00"
2019,Administration for Children's Services,Publishers Weekly,In-Kind,"$63,402.00"
2019,Administration for Children's Services,Literature for Incarcerated Teens,In-Kind,"$33,977.00"
2019,Administration for Children's Services,Foster Care Unplugged,In-Kind,"$31,793.00"
2019,Administration for Children's Services,The Research Foundation for SUNY,In-Kind,"$5,000.00"
2019,Administration for Children's Services,Scholastic Inc.,In-Kind,"$71,809.00"
2019,Administration for Children's Services,Together We Rise,In-Kind,"$13,200.00"
2019,Administration for Children's Services,The Dalton School,In-Kind,"$7,919.00"
2019,Administration for Children's Services,Municipal Crdit Union,In-Kind,"$6,940.00"
2019,Administration for Children's Services,Aaron Humphrey,In-Kind,"$5,000.00"
2019,Administration for Children's Services,Brushstroke Foundation for Hospital Art,In-Kind,"$7,000.00"
2019,Administration for Children's Services,American Christmas,In-Kind,"$10,000.00"
2019,Administration for Children's Services,The Shawn Carter Foundation,In-Kind,"$37,580.00"
2019,Administration for Children's Services,Walk With Us,In-Kind,"$8,328.00"
2019,Administration for Children's Services,Madison Square Garden,In-Kind,"$6,350.00"
2019,Administration for Children's Services,Emanuel Baptist Church,In-Kind,"$8,000.00"
2019,Administration for Children's Services,New York Jets,In-Kind,"$5,000.00"
2019,Administration for Children's Services,New Yorkers for Children,In-Kind,"$7,000.00"
2019,Administration for Children's Services,Hornblower Cruise Ship,In-Kind,"$25,000.00"
2019,Administration for Children's Services,Huntington Learning Center,In-Kind,"$10,435.00"
2019,Administration for Children's Services,Symphony Space,In-Kind,"$5,997.00"
2019,Administration for Children's Services,Sussman & Associates,In-Kind,"$5,926.00"
2019,Administration for Children's Services,Eclectic/Encore Properties,In-Kind,"$8,750.00"
2019,Administration for Children's Services,Beautiful Me,In-Kind,"$10,575.00"
2019,Administrative Tax Appeals (Office of),No donations to report,,
2019,Administrative Trials and Hearings (Office of),No donations to report,,
2019,Aging (Department for the),No donations to report,,
2019,Board of Elections,No donations to report,,
2019,Board of Standards and Appeals,No donations to report,,
2019,Borough President - Brooklyn,Schneps Community News Group,In-Kind,"$25,000.00"
2019,Borough President - Brooklyn,Diana Bagrationi Foundation and Niko Abazadze,In-Kind,"$60,000.00"
2019,Borough President - Manhattan,Columbia University 2/28/19,In Kind- Room rent waiver,"$12,000.00"
2019,Borough President - Manhattan,N.Y. Public Library 3/26/19,"In Kind- Room rent waiver$10,000","$10,000.00"
2019,Borough President - Manhattan,John Jay College   10/27/19,In Kind-Room rent waiver,"$7,000.00"
2019,Borough President - Queens,JetBlue Airways,In-Kind,"$14,670.00"
2019,Borough President - Queens,Delta Air Lines,In-Kind,"$15,000.00"
2019,Borough President - Queens,Resorts World Casino New York City,In-Kind,"$11,250.00"
2019,Borough President - Queens,Charter Communications (Spectrum News NY1),In-Kind,"$7,500.00"
2019,Borough President - Staten Island,No donations to report,,
2019,Buildings (Department of),No donations to report,,
2019,Business Integrity Commission,No donations to report,,
2019,Campaign Finance Board,No donations to report,,
2019,Chief Medical Examiner (Office of),No donations to report,,
2019,Citywide Administrative Services (Department of),No donations to report,,
2019,Civil Service Commission,No donations to report,,
2019,Collective Bargaining (Office of),No donations to report,,
2019,Comptroller,No donations to report,,
2019,Conflicts of Interest Board,No donations to report,,
2019,Consumer and Worker Protection (Department of),No donations to report,,
2019,Consumer and Worker Protection (Department of),"Deloitte Tax, LLP",In-Kind,"$7,500.00"
2020,Housing Development Corporation,No donations to report,,
2019,Consumer and Worker Protection (Department of),Municipal Credit Union (MCU),Money,"$5,000.00"
2019,Correction (Department of),No donations to report,,
2019,Cultural Affairs (Department of),No donations to report,,
2019,District Attorney - Queens County,No donations to report,,
2019,District Attorney - Richmond County,No donations to report,,
2019,District Attorney- Bronx County,No donations to report,,
2019,District Attorney- New York County,No donations to report,,
2019,Economic Development Corporation,"Team8, Inc.",In-Kind,"$42,200.00"
2019,Economic Development Corporation,Global Futures Group,In-Kind,"$8,000.00"
2019,Economic Development Corporation,Boston Consulting Group Digital Ventures,In-Kind,"$10,200.00"
2019,Education (Department of),01M363 PTA of the Neighborhood School ; PRIV PTA GRANT 02  0,Money,"$30,998.00"
2019,Education (Department of),01M539 The Nest+M Parent Teacher Association Inc ; PRIV PTA GRANT 01  0,Money,"$374,030.00"
2019,Education (Department of),01M539 The Nest+M Parent Teacher Association Inc ; PRIV PTA GRANT 30  0,Money,"$374,030.00"
2019,Education (Department of),02M006 Parent Teacher Association of Lillie Devereaux Blake School PS 6 ; PRIV PTA GRANT 16  0,Money,"$803,000.00"
2019,Education (Department of),02M006 Parent Teacher Association of Lillie Devereaux Blake School PS6 (Asst. Teacher) ; PRIV PTA GRANT 23  9,Money,"$405,000.00"
2019,Education (Department of),02M033 Chelsea Prep PTA Inc ; PRIV PTA GRANT 25  9,Money,"$244,314.00"
2019,Education (Department of),02M033 PS033M Chelsea Prep PTA Inc ; PRIV PTA GRANT 01  0,Money,"$51,315.00"
2019,Education (Department of),02M033 PS033M Chelsea Prep PTA Inc ; PRIV PTA GRANT 30  0,Money,"$159,560.56"
